modelIdentifier;supplierOrTrademark;powerOnModeSDR;category
TX-65HXX979;Panasonic;95.0;TELEVISION
TX-65HZ2000B;Panasonic;148.0;TELEVISION
TX-65HZN1508;Panasonic;138.0;TELEVISION
TX-55HXF977;Panasonic;85.0;TELEVISION
TX-55HZF1507;Panasonic;105.0;TELEVISION
TX-55HZN1508;Panasonic;105.0;TELEVISION
TX-58HX800B;Panasonic;85.0;TELEVISION
TX-58HX800BZ;Panasonic;85.0;TELEVISION
TX-58HXX889;Panasonic;85.0;TELEVISION
TX-65HX580BZ;Panasonic;109.0;TELEVISION
TX-65HX600B;Panasonic;109.0;TELEVISION
TX-65HX600E;Panasonic;109.0;TELEVISION
TX-50HX585B;Panasonic;71.0;TELEVISION
TX-50HX600BZ;Panasonic;71.0;TELEVISION
TX-50HX600E;Panasonic;71.0;TELEVISION
TX-50HXX889;Panasonic;63.0;TELEVISION
TX-55HX600E;Panasonic;82.0;TELEVISION
TX-43HX580B;Panasonic;54.0;TELEVISION
TX-43HXW584;Panasonic;54.0;TELEVISION
TX-43HXX979;Panasonic;65.0;TELEVISION
TX-49HXF977;Panasonic;68.0;TELEVISION
TX-49HXT976;Panasonic;68.0;TELEVISION
TX-49HXX979;Panasonic;68.0;TELEVISION
50 GEU 7800B UDS000;GRUNDIG;72.0;TELEVISION
39 GEF 6600B UDH000;GRUNDIG;44.0;TELEVISION
55 GEU 7900C UDV000;GRUNDIG;75.0;TELEVISION
55 OLED GD960B UEE000;GRUNDIG;110.0;TELEVISION
65 OLED GD960B UEF000;GRUNDIG;147.0;TELEVISION
P27q-20(D19270QP0 );Lenovo;18.8;MONITOR
49 UA8600;NABO;69.0;TELEVISION
24 LA4810;NABO;22.0;TELEVISION
19HFL5114W/12;PHILIPS;15.0;TELEVISION
DTH-1152;Wacom;7.6;OTHER
50HFL6114U/12;PHILIPS;68.0;TELEVISION
70BFL2114/12;PHILIPS;122.0;TELEVISION
GL2480;BenQ;17.8;MONITOR
BL2483;BenQ;17.8;MONITOR
EW2780U;BenQ;31.1;MONITOR
EX2780Q;BenQ;31.5;MONITOR
BL2480;BenQ;14.9;MONITOR
65HFL6114U/12;PHILIPS;104.0;TELEVISION
GL2780;BenQ;15.9;MONITOR
PD2700U;BenQ;25.3;MONITOR
SW271;BenQ;33.3;MONITOR
PD3420Q;BenQ;53.9;PROFESSIONAL_DISPLAY
XL2731;BenQ;24.9;MONITOR
XL2411K;BenQ;18.2;MONITOR
XL2546K;BenQ;18.4;MONITOR
ET1002L;Elo;7.7;MONITOR
LC-M29-UW-UXGA-100-C;LC-Power;36.0;MONITOR
32S510X1;TCL;32.0;TELEVISION
65P615X1;TCL;77.0;TELEVISION
55P615X1;TCL;59.0;TELEVISION
55 GEU 7900C UAW000;GRUNDIG;75.0;TELEVISION
32HG5500X1;THOMSON;32.0;TELEVISION
43P715X1;TCL;50.0;TELEVISION
43DP628X1;TCL;49.0;TELEVISION
40S515KX1;TCL;43.0;TELEVISION
55 GEU 7900W UES000;GRUNDIG;75.0;TELEVISION
32S515KX1;TCL;26.0;TELEVISION
32DD420X1;TCL;20.0;TELEVISION
32ES568X1;TCL;25.0;TELEVISION
55C715X1;TCL;82.0;TELEVISION
55P715X1;TCL;57.0;TELEVISION
FlexScan EV2457;EIZO;13.6;MONITOR
FlexScan EV2760;EIZO;17.7;MONITOR
FlexScan EV2450;EIZO;15.6;MONITOR
FlexScan S2133;EIZO;17.4;MONITOR
HLP24T354;Hyundai;22.0;TELEVISION
FW-85BZ40H;SONY;189.0;MONITOR
FW-75BZ40H;SONY;152.0;MONITOR
DTK-2260;Wacom;12.5;OTHER
B24-9 TE;FUJITSU;14.6;MONITOR
32-FHE-5660;Finlux;32.0;TELEVISION
55UAND8009;Prosonic;82.0;TELEVISION
A32HDVS9;Arena;32.0;TELEVISION
32-FHE-4660;Finlux;32.0;TELEVISION
43-FFE-5661;Finlux;42.0;TELEVISION
E24-8 TS Pro;FUJITSU;13.6;MONITOR
bild 2.43 58421*80;LOEWE.;66.0;TELEVISION
50 US01T2S2;ECG;64.0;TELEVISION
ODL 24850HC-TIB;ok.;21.0;TELEVISION
50 GEU 7902B UGP000;GRUNDIG;66.0;TELEVISION
50 GEU 7904W UGS000;GRUNDIG;66.0;TELEVISION
50 GEU 7904A UGN000;GRUNDIG;66.0;TELEVISION
55 GEU 7904W UGY000;GRUNDIG;75.0;TELEVISION
65 GEU 7902B UHA000;GRUNDIG;100.0;TELEVISION
Z27x G2 HSTND-9791-Q ;HP, Inc.;32.1;OTHER
PMO S271-IFC;PEAQ;21.0;MONITOR
XU2292HS-B1 A;IIYAMA CORPORATION;13.7;MONITOR
